id,question,answer
4963,What type of interpretation of Islam does Salafism promote?,conservative
4964,What does Salafism in its harshest form encourage its followers to view the religion of others with?,hate
4965,Salafism posits that democracy is responsible for what type of horrible events of the 20th century?,wars
4966,Conservative Islam classifies Muslims who follow Shia interpretation as what?,infidels
4967,"What interpretation of Islam is, for many of the adherents, the ""gold standard"" of their religion?",Saudi
4968,What type of movement is the Muslim Brotherhood?,Islamist
4969,What type of assistance to out of town students is the Muslim Brotherhood known for?,housing
4970,Why has the Muslim Brotherhood facilitated inexpensive mass marriage ceremonies?,avoid prohibitively costly dowry demands
4971,The Muslim Brotherhood's competence compares well against what type of local governments?,"incompetent, inefficient, or neglectful"
4972,What are incompetent government's commitment to social justice limited to?,rhetoric
4973,What was Iqbal studying in England and Germany?,law and philosophy
4974,What organization did Iqbal join in London?,the All India Muslim League
4975,What year did Iqbal return to Lahore?,1908
4976,Who was Iqbal a critic of?,the mainstream Indian nationalist and secularist Indian National Congress
4977,What book was Iqbal's seven English lectures published as?,The Reconstruction of Religious Thought in Islam
4978,What did Iqbal fear would weaken the spiritual foundations of Islam and Muslim society?,secularism and secular nationalism
4979,Iqbal worried that India's mostly Hindu population would do what to Muslim heritage and culture?,crowd out
4980,"When Iqbal promoted ideas of greater Islamic political unity, what did he encourage ending?",nationalist differences
4981,When was Iqbal elected president of the Muslim League?,1930
4982,What did Iqbal's Allahabad address inspire?,Pakistan movement
4983,Who was an important figure in the twentieth-century Islamic revival in India?,Sayyid Abul Ala Maududi
4984,"Maududi was trained as a lawyer, but chose what professional for himself instead?",journalism
4985,When did Maududi found the Jamaat-e-Islami party?,1941
4986,Who was an important early figure in the Islamic revival in India?,Sayyid Abul Ala Maududi
4987,"Though trained as a lawyer, what profession did Maududi pursue instead?",journalism
4988,Where did Maududi exert the most impact?,through his writing
4989,Where did Maududi's books place Islam?,a modern context
4990,What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia
4991,Maududi believed that Islam needed what to be established?,an Islamic state
4992,What is the English translation of tawhid?,unity of God
4993,What type of revolution did Maududi advocate?,gradual
4994,By what method did Maududi want to change the hearts and minds of individuals?,an educational process
4995,When was the Muslim Brotherhood founded?,1928
4996,Where was the Muslim Brotherhood founded?,"Ismailiyah, Egypt"
4997,Who founded the Muslim Brotherhood?,Hassan al Banna
4998,The motto of the Muslim Brotherhood specifies what as being their constitution?,the Qur'an
4999,What influence did Al Banna wish to eliminate from the Muslim world?,imperialist
5000,Some elements of the Brotherhood directed what action against the government?,violence
5001,When was Al-Banna assassinated?,1949
5002,Who was Al-Banna's assassination a retaliation for the prior assassination of?,Egypt's premier Mahmud Fami Naqrashi
5003,When was the Brotherhood first banned in Egypt?,1948
5004,What Egyptian president jailed thousands of members of the Brotherhood?,Gamal Abdul Nasser
5005,What status has the Brotherhood obtained in the Islamic world?,one of the most influential movements
5006,"For many years, what was the Brotherhood described as?","""semi-legal"""
5007,The Brotherhood was the only opposition group in Egypt able to do what during elections?,field candidates
5008,What percentage of seats did political parties identifying as Islamist win in the Egyptian parliamentary election of 2011-2012?,75% of the total seats
5009,Who was the first democratically elected president of Egypt?,Mohamed Morsi
5010,What was the defeat of the Arab troops at the hand of the Israeli troops during the Six-Day War?,quick and decisive
5011,The defeat of the Arab troops in the Six-Day War constituted what for the Arab Muslim world?,a pivotal event
5012,Secular Arab nationalism was blamed for both the defeat of Arab troops as well as what type of stagnation?,economic
5013,What happened to the credibility of secular politics as a result of the Six-Day War?,A steep and steady decline
5014,What gained ground when Arab nationalism suffered?,anti-democratic Islamist movements
5015,Who was the ideologue of the Iranian Revolution?,Ali Shariati
5016,Mohammad Iqbal was what type of father to the State of Pakistan?,ideological
5017,Where does Khomeini's beliefs fall as compared to Mawdudi and Qutb?,somewhere between
5018,Who was it essential to Islam to imitate?,the Prophet Mohammad
5019,What long term agenda was the acts of plundering Muslim lands by the West?,conspiracy
5020,What Republic has maintained its control of Iran?,Islamic
5021,What type of sanctions has the US directed at Iran?,economic
5022,Iran has assisted what type of groups in Iraq?,Shia terrorist
5023,When did the Iranian government enjoy something of a resurgence?,During the 2006 Israel-Lebanon conflict
5024,Who stated he wanted Israel to vanish?,President Mahmoud Ahmadinejad
5025,Who deployed its army into Afghanistan in 1979?,the Soviet Union
5026,What was the Soviet Union trying to suppress with its army?,an Islamic rebellion
5027,What did the conflict galvanize Muslims around the world to do?,send aid and sometimes to go themselves to fight for their faith
5028,"How effective was the military use of the ""Afghan Arabs""?",marginal
5029,How many Muslims came from around the world to fight in Afghanistan?,"16,000 to 35,000"
5030,What did the Gulf War inadvertently do in the early 1990s?,worked to radicalize the Islamist movement
5031,Whose occupation of Kuwait did the US military personal seek to put an end to?,Saddam Hussein
5032,"Up until 1990, Saudi Arabia played an important role in restraining what groups?",Islamist
5033,What monarchy did western troops protect?,Saudi
5034,Whose puppet did Islamists accuse the Saudi regime of being?,the west
5035,Who did the attacks resonate most with?,conservative Muslims
5036,Where did American troops remain stationed after Saddam's defeat?,in the kingdom
5037,What did Saudi Arabia try to repress to compensate for its loss of stature? ,domestic Islamists
5038,Where did a bloody civil war break out?,Algeria
5039,Who masterminded many terror attacks?,Osama bin Laden
5040,Whose ideas became increasingly radical during his imprisonment? ,Qutb's
5041,When was Qutb executed?,1966
5042,What organization was led by Hasan al-Hudaybi?,the Brotherhood
5043,What movements pursued a more radical direction?,Fringe or splinter
5044,When had the Brotherhood renounced violence as a means of achieving its goals?,By the 1970s
5045,Who took up the path of violence?,Egyptian Islamic Jihad organization
5046,When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,1981
5047,Which leaders did the Islamic extremists attack?,apostate
